Date,Region,Facility,Energy_MWh,Emission_Factor,Production,Emissions_tCO2,Waste_Kg,Renewable_percent,Transport_Emissions,PolicyWeight
"Saturday, April 01, 2023",Region 3,Facility 35,208.776,EF,2223.0,0.0,198144.5,40.0,0,0.8
"Wednesday, January 01, 2025",Region 3,Facility 35,208.90035,EF,2717.22,0.42,209876.0,40.0,0,0.8
"Friday, August 01, 2025",Region 1,Facility 33,209.13913,EF,1527.44,0.04,40920.85,40.0,0,0.8
"Sunday, January 01, 2023",Region 1,Facility 5,210.53854,EF,1972.0,34.37,23448.6,40.0,0,0.8
"Wednesday, February 01, 2023",Region 1,Facility 3,211.14297,EF,2368.91,11.01,17409.0,40.0,0,0.8
"Saturday, January 01, 2022",Region 2,Facility 1,212.261,EF,5563.0,20.11,19970.0,,0,1.2
"Wednesday, March 01, 2023",Region 3,Facility 35,212.311,EF,3085.3,0.0,235150.3,40.0,0,0.8
"Tuesday, November 01, 2022",Region 1,Facility 33,212.474,EF,1300.0,0.0,36771.0,40.0,0,0.8
"Monday, January 01, 2024",Region 1,Facility 5,212.66426,EF,1862.0,26.18,20618.0,40.0,0,0.8
"Friday, July 01, 2022",Region 1,Facility 33,212.709,EF,1744.0,0.0,33798.0,40.0,0,0.8
"Tuesday, February 01, 2022",Region 1,Facility 3,212.74245,EF,2771.78,12.97,29248.0,40.0,0,0.8
"Tuesday, February 01, 2022",Region 1,Facility 5,214.2042,EF,1753.0,35.25,19664.01,40.0,0,0.8
"Monday, April 01, 2024",Region 1,Facility 3,214.87344,EF,2184.59,13.15,17321.0,40.0,0,0.8
"Saturday, February 01, 2025",Region 1,Facility 5,215.51328,EF,1769.0,17.81,19413.7,40.0,0,0.8
"Sunday, May 01, 2022",Region 1,Facility 3,216.19246,EF,2286.04,12.89,23695.0,40.0,0,0.8
"Monday, January 01, 2024",Region 2,Facility 1,217.21458,EF,4699.84,21.85,17158.0,40.0,0,1.2
"Saturday, March 01, 2025",Region 1,Facility 33,217.45513,EF,1354.14,0.04,42895.5,40.0,0,0.8
"Saturday, April 01, 2023",Region 1,Facility 3,217.96925,EF,1922.07,13.04,15699.0,40.0,0,0.8
"Saturday, October 01, 2022",Region 1,Facility 3,218.90432,EF,2341.59,12.87,29104.0,40.0,0,0.8
"Saturday, February 01, 2025",Region 3,Facility 35,219.11935,EF,3029.86,0.42,218119.0,40.0,0,0.8
"Sunday, June 01, 2025",Region 1,Facility 33,219.90213,EF,1544.52,0.04,46844.71,40.0,0,0.8
"Monday, April 01, 2024",Region 1,Facility 5,220.14983,EF,1140.0,29.2,36520.8,40.0,0,0.8
"Tuesday, February 01, 2022",Region 2,Facility 1,220.299,EF,5515.0,20.06,21360.0,,0,1.2
"Monday, January 01, 2024",Region 1,Facility 3,220.70076,EF,1856.17,10.62,17366.0,40.0,0,0.8
"Friday, March 01, 2024",Region 1,Facility 3,221.20614,EF,1927.66,13.45,17526.0,40.0,0,0.8
"Saturday, March 01, 2025",Region 3,Facility 35,221.26304,EF,3085.92,0.42,221202.0,40.0,0,0.8
"Thursday, June 01, 2023",Region 1,Facility 33,221.319,EF,1511.05,0.0,24916.0,40.0,0,0.8
"Tuesday, November 01, 2022",Region 3,Facility 35,221.7873,EF,2991.9,0.0,235507.0,40.0,0,0.8
"Monday, May 01, 2023",Region 1,Facility 3,221.91463,EF,2069.12,11.35,14919.0,40.0,0,0.8
"Friday, March 01, 2024",Region 3,Facility 35,222.20694,EF,3249.22,0.52,224418.3,40.0,0,0.8
"Thursday, May 01, 2025",Region 3,Facility 35,222.95294,EF,2636.7,0.52,208868.0,40.0,0,0.8
"Thursday, September 01, 2022",Region 1,Facility 3,223.35006,EF,2609.15,13.78,26286.0,40.0,0,0.8
"Sunday, January 01, 2023",Region 3,Facility 35,223.66488,EF,2747.0,0.0,218201.3,40.0,0,0.8
"Saturday, January 01, 2022",Region 1,Facility 4,223.68093,EF,4673.0,4.13,26602.0,40.0,0,0.8
"Monday, August 01, 2022",Region 1,Facility 3,224.67412,EF,2370.8,13.27,24483.0,40.0,0,0.8
"Saturday, April 01, 2023",Region 1,Facility 33,224.79,EF,1480.0,0.0,30434.6,40.0,0,0.8
"Tuesday, April 01, 2025",Region 1,Facility 33,226.35284,EF,1389.3,0.06,41225.82,40.0,0,0.8
"Saturday, April 01, 2023",Region 1,Facility 5,227.778,EF,1441.0,35.88,12640.85,40.0,0,0.8
"Friday, November 01, 2024",Region 3,Facility 35,227.86126,EF,2842.47,0.52,237125.7,40.0,0,0.8
"Saturday, February 01, 2025",Region 1,Facility 33,228.38413,EF,1426.21,0.04,33405.0,40.0,0,0.8
"Sunday, January 01, 2023",Region 1,Facility 3,228.50551,EF,2709.43,15.57,19487.0,40.0,0,0.8
"Wednesday, March 01, 2023",Region 1,Facility 3,228.68309,EF,2150.14,13.49,22027.2,40.0,0,0.8
"Monday, May 01, 2023",Region 3,Facility 35,228.712,EF,2861.64,0.0,198308.1,40.0,0,0.8
"Thursday, May 01, 2025",Region 1,Facility 33,229.31613,EF,1486.25,0.04,38191.98,40.0,0,0.8
"Tuesday, November 01, 2022",Region 1,Facility 3,229.84075,EF,1914.59,15.82,21858.0,40.0,0,0.8
"Monday, July 01, 2024",Region 1,Facility 3,230.3608,EF,2166.55,13.23,15992.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 1,Facility 5,231.36647,EF,1572.13,38.63,21495.7,40.0,0,0.8
"Tuesday, August 01, 2023",Region 1,Facility 3,231.49685,EF,2603.24,11.4,20064.0,40.0,0,0.8
"Saturday, July 01, 2023",Region 1,Facility 33,232.056,EF,1630.4,0.0,38175.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 1,Facility 6,232.8352,EF,5509.3,14.99,17550.0,40.0,0,0.8
"Friday, March 01, 2024",Region 1,Facility 5,233.35667,EF,1731.0,35.75,19657.0,40.0,0,0.8
"Friday, April 01, 2022",Region 1,Facility 4,234.64957,EF,5118.0,6.26,54767.0,40.0,0,0.8
"Tuesday, July 01, 2025",Region 1,Facility 33,235.41213,EF,1786.77,0.04,50811.28,40.0,0,0.8
"Wednesday, March 01, 2023",Region 1,Facility 5,235.41286,EF,1632.0,32.11,18596.65,40.0,0,0.8
"Sunday, June 01, 2025",Region 1,Facility 5,235.72292,EF,1608.0,17.3,14054.3,40.0,0,0.8
"Friday, December 01, 2023",Region 1,Facility 6,236.41896,EF,5041.07,14.51,12810.0,40.0,0,0.8
"Tuesday, March 01, 2022",Region 2,Facility 1,236.555,EF,5930.0,22.52,44760.0,,0,1.2
"Wednesday, January 01, 2025",Region 1,Facility 33,236.61384,EF,1427.06,0.06,50957.11,40.0,0,0.8
"Sunday, December 01, 2024",Region 1,Facility 5,236.76628,EF,1727.0,20.22,19684.6,40.0,0,0.8
"Monday, January 01, 2024",Region 3,Facility 35,237.52735,EF,3172.99,0.42,196813.3,40.0,0,0.8
